[2026-02-10 10:01:14] [INFO    ] [MainProcess] Log file created: ./logs/ocr_run_20260210_100114.log | fname=
[2026-02-10 10:01:14] [INFO    ] [MainProcess] ========== OCR Pipeline Starting ========== | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Input directory : /home/whirldata/cpu_multi_paddle_try/attachments | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Output directory: /home/whirldata/cpu_multi_paddle_try/ocr_output | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Total vCPUs     : 30 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Num workers     : 5 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Threads/worker  : 5 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Queue size      : 5 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Supported exts  : {'.png', '.tiff', '.tif', '.jpg', '.pdf', '.bmp', '.jpeg', '.webp'} | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Total entries found in input directory: 10 | fname=SCAN
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] All entries: ['0001_1700000449_2025_01.PDF', '0001_1700000446_2025_01.PDF', '0001_1700000451_2025_01.PDF', '0001_1700000448_2025_01.PDF', '0002_1700000096_2025_01.PDF', '0001_1700000455_2025_01.PDF', '0001_1700000356_2025_02.PDF', '0001_1700000454_2025_01.PDF', '0001_1700000163_2025_01.PDF', '0038_1700000012_2025_01.PDF'] | fname=SCAN
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000163_2025_01.PDF (0.02 MB) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000356_2025_02.PDF (0.02 MB) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000446_2025_01.PDF (0.25 MB) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000448_2025_01.PDF (0.76 MB) | fname=0001_1700000448_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000449_2025_01.PDF (0.28 MB) | fname=0001_1700000449_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000451_2025_01.PDF (0.01 MB) | fname=0001_1700000451_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000454_2025_01.PDF (0.01 MB) | fname=0001_1700000454_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000455_2025_01.PDF (0.25 MB) | fname=0001_1700000455_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Queuing file: 0002_1700000096_2025_01.PDF (0.24 MB) | fname=0002_1700000096_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Queuing file: 0038_1700000012_2025_01.PDF (0.17 MB) | fname=0038_1700000012_2025_01.PDF
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Files to process: 10, Skipped: 0 | fname=SCAN
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Multiprocessing start method set to 'spawn' | fname=INIT
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Task queue created with maxsize=5 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Spawning 5 worker processes... | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Worker-0 started (PID=59417) | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Worker-1 started (PID=59418) | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Worker-2 started (PID=59419) | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Worker-3 started (PID=59420) | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Worker-4 started (PID=59421) | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [MainProcess] Enqueuing 10 file(s)... | fname=ENQUEUE
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Putting file 1/10 into queue | fname=0001_1700000163_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] File enqueued successfully (1/10) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Putting file 2/10 into queue | fname=0001_1700000356_2025_02.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] File enqueued successfully (2/10) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Putting file 3/10 into queue | fname=0001_1700000446_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] File enqueued successfully (3/10) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Putting file 4/10 into queue | fname=0001_1700000448_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] File enqueued successfully (4/10) | fname=0001_1700000448_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Putting file 5/10 into queue | fname=0001_1700000449_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] File enqueued successfully (5/10) | fname=0001_1700000449_2025_01.PDF
[2026-02-10 10:01:14] [DEBUG   ] [MainProcess] Putting file 6/10 into queue | fname=0001_1700000451_2025_01.PDF
[2026-02-10 10:01:14] [INFO    ] [Worker-0] Worker-0 process started (PID=59417) | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-0] Thread env — OMP=5, MKL=5, NUMEXPR=5 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-0] Worker-0 initializing PaddleOCR model... | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-1] Worker-1 process started (PID=59418) | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-2] Worker-2 process started (PID=59419) | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-1] Thread env — OMP=5, MKL=5, NUMEXPR=5 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-1] Worker-1 initializing PaddleOCR model... | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-2] Thread env — OMP=5, MKL=5, NUMEXPR=5 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-2] Worker-2 initializing PaddleOCR model... | fname=INIT
